   1.00000000e-02	  -1.51311030e-01	  -1.51311030e-01	  -1.38073222e-03
   2.00000000e-02	  -2.83680863e-01	  -2.83680863e-01	  -4.78916247e-03
   3.00000000e-02	  -3.95757587e-01	  -3.95757587e-01	  -9.39031037e-03
   4.00000000e-02	  -4.87368754e-01	  -4.87368754e-01	  -1.46211209e-02
   5.00000000e-02	  -5.59280300e-01	  -5.59280300e-01	  -2.01114168e-02
   6.00000000e-02	  -6.12975381e-01	  -6.12975381e-01	  -2.56268102e-02
   7.00000000e-02	  -6.50484347e-01	  -6.50484347e-01	  -3.10276418e-02
   8.00000000e-02	  -6.74240212e-01	  -6.74240212e-01	  -3.62390706e-02
   9.00000000e-02	  -6.86920492e-01	  -6.86920492e-01	  -4.12294359e-02
   1.00000000e-01	  -6.91259072e-01	  -6.91259072e-01	  -4.59949932e-02
   1.10000000e-01	  -6.89842395e-01	  -6.89842395e-01	  -5.05488772e-02
   1.20000000e-01	  -6.84933071e-01	  -6.84933071e-01	  -5.49135323e-02
   1.30000000e-01	  -6.78346905e-01	  -6.78346905e-01	  -5.91152741e-02
   1.40000000e-01	  -6.71417396e-01	  -6.71417396e-01	  -6.31810363e-02
   1.50000000e-01	  -6.65030654e-01	  -6.65030654e-01	  -6.71363372e-02
   1.60000000e-01	  -6.59701217e-01	  -6.59701217e-01	  -7.10040974e-02
   1.70000000e-01	  -6.55663219e-01	  -6.55663219e-01	  -7.48040936e-02
   1.80000000e-01	  -6.52957282e-01	  -6.52957282e-01	  -7.85527818e-02
   1.90000000e-01	  -6.51506541e-01	  -6.51506541e-01	  -8.22635777e-02
   2.00000000e-01	  -6.51171585e-01	  -6.51171585e-01	  -8.59471530e-02
   2.10000000e-01	  -6.51786624e-01	  -6.51786624e-01	  -8.96117941e-02
   2.20000000e-01	  -6.53182812e-01	  -6.53182812e-01	  -9.32637613e-02
   2.30000000e-01	  -6.55202750e-01	  -6.55202750e-01	  -9.69076675e-02
   2.40000000e-01	  -6.57708208e-01	  -6.57708208e-01	  -1.00546831e-01
   2.50000000e-01	  -6.60583072e-01	  -6.60583072e-01	  -1.04183569e-01
   2.60000000e-01	  -6.63732345e-01	  -6.63732345e-01	  -1.07819440e-01
   2.80000000e-01	  -6.70566308e-01	  -6.70566308e-01	  -1.15092119e-01
   2.90000000e-01	  -6.74146201e-01	  -6.74146201e-01	  -1.18729798e-01
   3.00000000e-01	  -6.77786323e-01	  -6.77786323e-01	  -1.22368575e-01
   3.10000000e-01	  -6.81462941e-01	  -6.81462941e-01	  -1.26008435e-01
   3.30000000e-01	  -6.88864669e-01	  -6.88864669e-01	  -1.33291082e-01
   3.40000000e-01	  -6.92570744e-01	  -6.92570744e-01	  -1.36933628e-01
   3.60000000e-01	  -6.99968573e-01	  -6.99968573e-01	  -1.44220498e-01
   3.70000000e-01	  -7.03656558e-01	  -7.03656558e-01	  -1.47864577e-01
   3.90000000e-01	  -7.11010524e-01	  -7.11010524e-01	  -1.55153548e-01
   4.10000000e-01	  -7.18340491e-01	  -7.18340491e-01	  -1.62443200e-01
   4.30000000e-01	  -7.25655357e-01	  -7.25655357e-01	  -1.69733208e-01
   4.60000000e-01	  -7.36608019e-01	  -7.36608019e-01	  -1.80668443e-01
   4.90000000e-01	  -7.47545222e-01	  -7.47545222e-01	  -1.91603607e-01
   5.10000000e-01	  -7.54832000e-01	  -7.54832000e-01	  -1.98893604e-01
   5.40000000e-01	  -7.65762133e-01	  -7.65762133e-01	  -2.09828502e-01
   5.70000000e-01	  -7.76696561e-01	  -7.76696561e-01	  -2.20763462e-01
   6.00000000e-01	  -7.87633319e-01	  -7.87633319e-01	  -2.31698532e-01
   6.30000000e-01	  -7.98570468e-01	  -7.98570468e-01	  -2.42633666e-01
   6.70000000e-01	  -8.13149650e-01	  -8.13149650e-01	  -2.57213752e-01
   7.10000000e-01	  -8.27727079e-01	  -8.27727079e-01	  -2.71793661e-01
   7.50000000e-01	  -8.42306331e-01	  -8.42306331e-01	  -2.86373551e-01
   7.90000000e-01	  -8.56887633e-01	  -8.56887633e-01	  -3.00953566e-01
   8.30000000e-01	  -8.71468916e-01	  -8.71468916e-01	  -3.15533681e-01
   9.00000000e-01	  -8.96985914e-01	  -8.96985914e-01	  -3.41049031e-01
